Table 1
Id,name,ThumbnailImage,species_id,type,generation_id,type__001,type__002,description,generation
169,Crobat,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/169.png,169,"poison,flying",2,poison,flying,"Crobat sneaks up on its intended prey using wings that barely
make a sound. This Pokémon rests by hanging on a tree
branch with its rear legs that serve as wings.",2
170,Chinchou,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/170.png,170,"water,electric",2,water,electric,"Chinchou’s two antennas are filled with cells that generate
strong electricity. This Pokémon’s cells create so much
electrical power, it even makes itself tingle slightly.",2
171,Lanturn,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/171.png,171,"water,electric",2,water,electric,"Lanturn is known to emit light. If you peer down into the dark
sea from a ship at night, you can sometimes see this
Pokémon’s light rising from the depths where it swims. It gives
the sea an appearance of a starlit night.",2
172,Pichu,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/172.png,172,electric,2,electric,,"When Pichu plays with others, it may short out electricity with
another Pichu, creating a shower of sparks. In that event, this
Pokémon will begin crying, startled by the flash of sparks.",2
173,Cleffa,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/173.png,173,fairy,2,fairy,,"On nights with many shooting stars, Cleffa can be seen
dancing in a ring. They dance through the night and stop only
at the break of day, when these Pokémon quench their thirst
with the morning dew.",2
174,Igglybuff,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/174.png,174,"normal,fairy",2,normal,fairy,"Igglybuff has a soft and plushy body that feels very much like
a marshmallow. From this body wafts a gently sweet fragrance
that soothes and calms the emotions of its foes.",2
175,Togepi,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/175.png,175,fairy,2,fairy,,"As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokémon.
This Pokémon stores up feelings of happiness inside its shell,
then shares them with others.",2
176,Togetic,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/176.png,176,"fairy,flying",2,fairy,flying,"Togetic is said to be a Pokémon that brings good fortune.
When the Pokémon spots someone who is pure of heart,
it is said to appear and share its happiness with that person.",2
177,Natu,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/177.png,177,"psychic,flying",2,psychic,flying,"Natu has a highly developed jumping ability. The Pokémon
flaps and leaps onto tree branches that are taller than
grown-up people to pick at the tree’s new shoots.",2
178,Xatu,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/178.png,178,"psychic,flying",2,psychic,flying,"Xatu is known to stand motionless while staring at the sun all
day long. Some people revere it as a mystical Pokémon out of
their belief that Xatu is in possession of the power to see into
the future.",2
179,Mareep,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/179.png,179,electric,2,electric,,"Mareep’s fluffy coat of wool rubs together and builds a static
charge. The more static electricity is charged, the more brightly
the lightbulb at the tip of its tail glows.",2
180,Flaaffy,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/180.png,180,electric,2,electric,,"Flaaffy’s wool quality changes so that it can generate
a high amount of static electricity with a small amount of
wool. The bare and slick parts of its hide are shielded
against electricity.",2
181,Ampharos,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/181.png,181,electric,2,electric,,"Ampharos gives off so much light that it can be seen even from
space. People in the old days used the light of this Pokémon
to send signals back and forth with others far away.",2
182,Bellossom,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/182.png,182,grass,2,grass,,"A Bellossom grows flowers more beautifully if it has evolved
from a smelly Gloom—the more stinky the better. At night, this
Pokémon closes its petals and goes to sleep.",2
183,Marill,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/183.png,183,"water,fairy",2,water,fairy,"When fishing for food at the edge of a fast-running stream,
Marill wraps its tail around the trunk of a tree. This Pokémon’s
tail is flexible and configured to stretch.",2
184,Azumarill,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/184.png,184,"water,fairy",2,water,fairy,"Azumarill can make balloons out of air. It makes these air
balloons if it spots a drowning Pokémon. The air balloons
enable the Pokémon in trouble to breathe.",2
185,Sudowoodo,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/185.png,185,rock,2,rock,,"Sudowoodo camouflages itself as a tree to avoid being
attacked by enemies. However, because its hands remain
green throughout the year, the Pokémon is easily identified
as a fake during the winter.",2
186,Politoed,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/186.png,186,water,2,water,,"The curled hair on Politoed’s head is proof of its status as a
king. It is said that the longer and more curled the hair, the
more respect this Pokémon earns from its peers.",2
187,Hoppip,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/187.png,187,"grass,flying",2,grass,flying,"This Pokémon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away.",2
188,Skiploom,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/188.png,188,"grass,flying",2,grass,flying,"Skiploom’s flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokémon
is sometimes used as a thermometer.",2
189,Jumpluff,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/189.png,189,"grass,flying",2,grass,flying,"Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The Pokémon descends to the ground when it
encounters cold air while it is floating.",2
190,Aipom,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/190.png,190,normal,2,normal,,"Aipom’s tail ends in a hand-like appendage that can be cleverly
manipulated. However, because the Pokémon uses its tail so
much, its real hands have become rather clumsy.",2
191,Sunkern,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/191.png,191,grass,2,grass,,"Sunkern tries to move as little as it possibly can. It does so
because it tries to conserve all the nutrients it has stored in its
body for its evolution. It will not eat a thing, subsisting only on
morning dew.",2
192,Sunflora,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/192.png,192,grass,2,grass,,"Sunflora converts solar energy into nutrition. It moves around
actively in the daytime when it is warm. It stops moving as
soon as the sun goes down for the night.",2
193,Yanma,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/193.png,193,"bug,flying",2,bug,flying,"Yanma is capable of seeing 360 degrees without having to
move its eyes. It is a great flier that is adept at making sudden
stops and turning midair. This Pokémon uses its flying ability
to quickly chase down targeted prey.",2
194,Wooper,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/194.png,194,"water,ground",2,water,ground,"Wooper usually lives in water. However, it occasionally comes
out onto land in search of food. On land, it coats its body with
a gooey, toxic film.",2
195,Quagsire,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/195.png,195,"water,ground",2,water,ground,"Quagsire hunts for food by leaving its mouth wide open in
water and waiting for its prey to blunder in unaware. Because
the Pokémon does not move, it does not get very hungry.",2
196,Espeon,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/196.png,196,psychic,2,psychic,,"Espeon is extremely loyal to any Trainer it considers to
be worthy. It is said that this Pokémon developed its
precognitive powers to protect its Trainer from harm.",2
197,Umbreon,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/197.png,197,dark,2,dark,,"Umbreon evolved as a result of exposure to the moon’s waves.
It hides silently in darkness and waits for its foes to make a
move. The rings on its body glow when it leaps to attack.",2
198,Murkrow,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/198.png,198,"dark,flying",2,dark,flying,"Murkrow was feared and loathed as the alleged bearer of ill
fortune. This Pokémon shows strong interest in anything that
sparkles or glitters. It will even try to steal rings from women.",2
199,Slowking,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/199.png,199,"water,psychic",2,water,psychic,"Slowking undertakes research every day in an effort to solve
the mysteries of the world. However, this Pokémon apparently
forgets everything it has learned if the Shellder on its head
comes off.",2
200,Misdreavus,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/200.png,200,ghost,2,ghost,,"Misdreavus frightens people with a creepy, sobbing cry.
The Pokémon apparently uses its red spheres to absorb the
fearful feelings of foes and turn them into nutrition.",2
201,Unown,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/201.png,201,psychic,2,psychic,,"This Pokémon is shaped like ancient writing. It is a mystery as
to which came first, the ancient writings or the various Unown.
Research into this topic is ongoing but nothing is known.",2
202,Wobbuffet,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/202.png,202,psychic,2,psychic,,"Wobbuffet does nothing but endure attacks—it won’t attack on
its own. However, it won’t endure an attack on its tail. When
that happens, the Pokémon will try to take the foe with it using
Destiny Bond.",2
203,Girafarig,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/203.png,203,"normal,psychic",2,normal,psychic,"Girafarig’s rear head contains a tiny brain that is too small for
thinking. However, the rear head doesn’t need to sleep, so it
can keep watch over its surroundings 24 hours a day.",2
204,Pineco,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/204.png,204,bug,2,bug,,"Pineco hangs from a tree branch and patiently waits for prey to
come along. If the Pokémon is disturbed while eating by
someone shaking its tree, it drops down to the ground and
explodes with no warning.",2
205,Forretress,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/205.png,205,"bug,steel",2,bug,steel,"Forretress conceals itself inside its hardened steel shell.
The shell is opened when the Pokémon is catching prey,
but it does so at such a quick pace that the shell’s inside
cannot be seen.",2
206,Dunsparce,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/206.png,206,normal,2,normal,,"Dunsparce has a drill for its tail. It uses this tail to burrow into
the ground backward. This Pokémon is known to make its
nest in complex shapes deep under the ground.",2
207,Gligar,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/207.png,207,"ground,flying",2,ground,flying,"Gligar glides through the air without a sound as if it were
sliding. This Pokémon hangs on to the face of its foe using
its clawed hind legs and the large pincers on its forelegs, then
injects the prey with its poison barb.",2
208,Steelix,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/208.png,208,"steel,ground",2,steel,ground,"Steelix lives even further underground than Onix.
This Pokémon is known to dig toward the earth’s core.
There are records of this Pokémon reaching a depth of
over six-tenths of a mile underground.",2
209,Snubbull,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/209.png,209,fairy,2,fairy,,"By baring its fangs and making a scary face, Snubbull sends
smaller Pokémon scurrying away in terror. However, this
Pokémon seems a little sad at making its foes flee.",2
210,Granbull,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/210.png,210,fairy,2,fairy,,"Granbull has a particularly well-developed lower jaw.
The enormous fangs are heavy, causing the Pokémon to tip
its head back for balance. Unless it is startled, it will not try to
bite indiscriminately.",2
211,Qwilfish,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/211.png,211,"water,poison",2,water,poison,"Qwilfish sucks in water, inflating itself. This Pokémon
uses the pressure of the water it swallowed to shoot toxic
quills all at once from all over its body. It finds swimming
somewhat challenging.",2
212,Scizor,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/212.png,212,"bug,steel",2,bug,steel,"Scizor has a body with the hardness of steel. It is not easily
fazed by ordinary sorts of attacks. This Pokémon flaps its
wings to regulate its body temperature.",2
213,Shuckle,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/213.png,213,"bug,rock",2,bug,rock,"Shuckle quietly hides itself under rocks, keeping its body
concealed inside its hard shell while eating berries it has
stored away. The berries mix with its body fluids to become
a juice.",2
214,Heracross,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/214.png,214,"bug,fighting",2,bug,fighting,"Heracross has sharp claws on its feet. These are planted
firmly into the ground or the bark of a tree, giving the
Pokémon a secure and solid footing to forcefully fling away
foes with its proud horn.",2
215,Sneasel,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/215.png,215,"dark,ice",2,dark,ice,"Sneasel scales trees by punching its hooked claws into the
bark. This Pokémon seeks out unguarded nests and steals
eggs for food while the parents are away.",2
216,Teddiursa,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/216.png,216,normal,2,normal,,"This Pokémon likes to lick its palms that are sweetened by
being soaked in honey. Teddiursa concocts its own honey
by blending fruits and pollen collected by Beedrill.",2
217,Ursaring,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/217.png,217,normal,2,normal,,"In the forests inhabited by Ursaring, it is said that there are
many streams and towering trees where they gather food. This
Pokémon walks through its forest gathering food every day.",2
218,Slugma,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/218.png,218,fire,2,fire,,"Slugma does not have any blood in its body. Instead, intensely
hot magma circulates throughout this Pokémon’s body,
carrying essential nutrients and oxygen to its organs.",2
219,Magcargo,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/219.png,219,"fire,rock",2,fire,rock,"Magcargo’s body temperature is approximately
18,000 degrees Fahrenheit. Water is vaporized on contact.
If this Pokémon is caught in the rain, the raindrops instantly
turn into steam, cloaking the area in a thick fog.",2
220,Swinub,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/220.png,220,"ice,ground",2,ice,ground,"Swinub roots for food by rubbing its snout against the ground.
Its favorite food is a mushroom that grows under the cover of
dead grass. This Pokémon occasionally roots out hot springs.",2
221,Piloswine,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/221.png,221,"ice,ground",2,ice,ground,"Piloswine is covered by a thick coat of long hair that enables
it to endure the freezing cold. This Pokémon uses its tusks to
dig up food that has been buried under ice.",2
222,Corsola,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/222.png,222,"water,rock",2,water,rock,"Clusters of Corsola congregate in warm seas where they serve
as ideal hiding places for smaller Pokémon. When the water
temperature falls, this Pokémon migrates to the southern seas.",2
223,Remoraid,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/223.png,223,water,2,water,,"Remoraid sucks in water, then expels it at high velocity using
its abdominal muscles to shoot down flying prey. When
evolution draws near, this Pokémon travels downstream
from rivers.",2
224,Octillery,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/224.png,224,water,2,water,,"Octillery grabs onto its foe using its tentacles. This Pokémon
tries to immobilize it before delivering the finishing blow. If the
foe turns out to be too strong, Octillery spews ink to escape.",2
225,Delibird,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/225.png,225,"ice,flying",2,ice,flying,"Delibird carries its food bundled up in its tail. There once was
a famous explorer who managed to reach the peak of the
world’s highest mountain, thanks to one of these Pokémon
sharing its food.",2
226,Mantine,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/226.png,226,"water,flying",2,water,flying,"On sunny days, schools of Mantine can be seen elegantly
leaping over the sea’s waves. This Pokémon is not bothered
by the Remoraid that hitches rides.",2
227,Skarmory,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/227.png,227,"steel,flying",2,steel,flying,"Skarmory’s steel wings become tattered and bashed in from
repeated battles. Once a year, the battered wings grow back
completely, restoring the cutting edges to their pristine state.",2
228,Houndour,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/228.png,228,"dark,fire",2,dark,fire,"Houndour hunt as a coordinated pack. They communicate
with each other using a variety of cries to corner their prey.
This Pokémon’s remarkable teamwork is unparalleled.",2
229,Houndoom,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/229.png,229,"dark,fire",2,dark,fire,"In a Houndoom pack, the one with its horns raked sharply
toward the back serves a leadership role. These Pokémon
choose their leader by fighting among themselves.",2
230,Kingdra,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/230.png,230,"water,dragon",2,water,dragon,"Kingdra sleeps on the seafloor where it is otherwise devoid
of life. When a storm arrives, the Pokémon is said to awaken
and wander about in search of prey.",2
231,Phanpy,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/231.png,231,ground,2,ground,,"Phanpy uses its long nose to shower itself. When others
gather around, they thoroughly douse each other with water.
These Pokémon can be seen drying their soaking-wet
bodies at the edge of water.",2
232,Donphan,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/232.png,232,ground,2,ground,,"If Donphan were to tackle with its hard body, even a house
could be destroyed. Using its massive strength, the Pokémon
helps clear rock and mud slides that block mountain trails.",2
233,Porygon2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/233.png,233,normal,2,normal,,"Porygon2 was created by humans using the power of science.
The man-made Pokémon has been endowed with artificial
intelligence that enables it to learn new gestures and emotions
on its own.",2
234,Stantler,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/234.png,234,normal,2,normal,,"Stantler’s magnificent antlers were traded at high prices as
works of art. As a result, this Pokémon was hunted close to
extinction by those who were after the priceless antlers.",2
235,Smeargle,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/235.png,235,normal,2,normal,,"Smeargle marks the boundaries of its territory using a body
fluid that leaks out from the tip of its tail. Over 5,000 different
marks left by this Pokémon have been found.",2
236,Tyrogue,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/236.png,236,fighting,2,fighting,,"Tyrogue becomes stressed out if it does not get to train every
day. When raising this Pokémon, the Trainer must establish
and uphold various training methods.",2
237,Hitmontop,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/237.png,237,fighting,2,fighting,,"Hitmontop spins on its head at high speed, all the while
delivering kicks. This technique is a remarkable mix of both
offense and defense at the same time. The Pokémon travels
faster spinning than it does walking.",2
238,Smoochum,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/238.png,238,"ice,psychic",2,ice,psychic,"Smoochum actively runs about, but also falls quite often.
Whenever the chance arrives, it will look for its reflection to
make sure its face hasn’t become dirty.",2
239,Elekid,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/239.png,239,electric,2,electric,,"Elekid stores electricity in its body. If it touches metal and
accidentally discharges all its built-up electricity, this Pokémon
begins swinging its arms in circles to recharge itself.",2
240,Magby,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/240.png,240,fire,2,fire,,"Magby’s state of health is determined by observing the fire it
breathes. If the Pokémon is spouting yellow flames from its
mouth, it is in good health. When it is fatigued, black smoke
will be mixed in with the flames.",2
241,Miltank,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/241.png,241,normal,2,normal,,"Miltank gives over five gallons of milk on a daily basis. Its
sweet milk is enjoyed by children and grown-ups alike. People
who can’t drink milk turn it into yogurt and eat it instead.",2
242,Blissey,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/242.png,242,normal,2,normal,,"Blissey senses sadness with its fluffy coat of fur. If it does so,
this Pokémon will rush over to a sad person, no matter how far
away, to share a Lucky Egg that brings a smile to any face.",2
243,Raikou,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/243.png,243,electric,2,electric,,"Raikou embodies the speed of lightning. The roars of
this Pokémon send shock waves shuddering through the
air and shake the ground as if lightning bolts had come
crashing down.",2
244,Entei,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/244.png,244,fire,2,fire,,"Entei embodies the passion of magma. This Pokémon is
thought to have been born in the eruption of a volcano.
It sends up massive bursts of fire that utterly consume all
that they touch.",2
245,Suicune,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/245.png,245,water,2,water,,"Suicune embodies the compassion of a pure spring of water.
It runs across the land with gracefulness. This Pokémon has
the power to purify dirty water.",2
246,Larvitar,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/246.png,246,"rock,ground",2,rock,ground,"Larvitar is born deep under the ground. To come up to the
surface, this Pokémon must eat its way through the soil above.
Until it does so, Larvitar cannot see its parents.",2
247,Pupitar,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/247.png,247,"rock,ground",2,rock,ground,"Pupitar creates a gas inside its body that it compresses and
forcefully ejects to propel itself like a jet. The body is very
durable—it avoids damage even if it hits solid steel.",2
248,Tyranitar,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/248.png,248,"rock,dark",2,rock,dark,"Tyranitar is so overwhelmingly powerful, it can bring down a
whole mountain to make its nest. This Pokémon wanders about
in mountains seeking new opponents to fight.",2
249,Lugia,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/249.png,249,"psychic,flying",2,psychic,flying,"Lugia’s wings pack devastating power—a light fluttering of its
wings can blow apart regular houses. As a result, this
Pokémon chooses to live out of sight deep under the sea.",2
250,Ho-Oh,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/250.png,250,"fire,flying",2,fire,flying,"Ho-Oh’s feathers glow in seven colors depending on the angle
at which they are struck by light. These feathers are said to
bring happiness to the bearers. This Pokémon is said to live at
the foot of a rainbow.",2
251,Celebi,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/251.png,251,"psychic,grass",2,psychic,grass,"This Pokémon came from the future by crossing over time.
It is thought that so long as Celebi appears, a bright and
shining future awaits us.",2
252,Treecko,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/252.png,252,grass,3,grass,,"Treecko is cool, calm, and collected—it never panics under
any situation. If a bigger foe were to glare at this Pokémon,
it would glare right back without conceding an inch of ground.",3
253,Grovyle,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/253.png,253,grass,3,grass,,"This Pokémon adeptly flies from branch to branch in trees.
In a forest, no Pokémon can ever hope to catch a fleeing
Grovyle however fast they may be.",3
254,Sceptile,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/254.png,254,grass,3,grass,,"Sceptile has seeds growing on its back. They are said to be
bursting with nutrients that revitalize trees. This Pokémon
raises the trees in a forest with loving care.",3
255,Torchic,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/255.png,255,fire,3,fire,,"Torchic has a place inside its body where it keeps its flame.
Give it a hug—it will be glowing with warmth. This Pokémon is
covered all over by a fluffy coat of down.",3
256,Combusken,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/256.png,256,"fire,fighting",3,fire,fighting,"Combusken battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokémon’s cry is very loud and distracting.",3
257,Blaziken,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/257.png,257,"fire,fighting",3,fire,fighting,"Blaziken has incredibly strong legs—it can easily clear a
30-story building in one leap. This Pokémon’s blazing punches
leave its foes scorched and blackened.",3
258,Mudkip,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/258.png,258,water,3,water,,"In water, Mudkip breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokémon will unleash
its amazing power—it can crush rocks bigger than itself.",3
259,Marshtomp,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/259.png,259,"water,ground",3,water,ground,"Marshtomp is much faster at traveling through mud than it is at
swimming. This Pokémon’s hindquarters exhibit obvious
development, giving it the ability to walk on just its hind legs.",3
260,Swampert,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/260.png,260,"water,ground",3,water,ground,"Swampert predicts storms by sensing subtle differences in the
sounds of waves and tidal winds with its fins. If a storm is
approaching, it piles up boulders to protect itself.",3
261,Poochyena,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/261.png,261,dark,3,dark,,"Poochyena is an omnivore—it will eat anything. A distinguishing
feature is how large its fangs are compared to its body. This
Pokémon tries to intimidate its foes by making the hair on its
tail bristle out.",3
262,Mightyena,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/262.png,262,dark,3,dark,,"Mightyena travel and act as a pack in the wild. The memory
of its life in the wild compels the Pokémon to obey only
those Trainers that it recognizes to possess superior skill.",3
263,Zigzagoon,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/263.png,263,normal,3,normal,,"The hair on Zigzagoon’s back is bristly. It rubs the hard back
hair against trees to leave its territorial markings. This Pokémon
may play dead to fool foes in battle.",3
264,Linoone,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/264.png,264,normal,3,normal,,"When hunting, Linoone will make a beeline straight for the
prey at a full run. While this Pokémon is capable of topping
60 mph, it has to come to a screeching halt before it can turn.",3
265,Wurmple,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/265.png,265,bug,3,bug,,"Wurmple is targeted by Swellow as prey. This Pokémon
will try to resist by pointing the spikes on its rear at the
attacking predator. It will weaken the foe by leaking poison
from the spikes.",3
266,Silcoon,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/266.png,266,bug,3,bug,,"Silcoon was thought to endure hunger and not consume
anything before its evolution. However, it is now thought
that this Pokémon slakes its thirst by drinking rainwater
that collects on its silk.",3
267,Beautifly,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/267.png,267,"bug,flying",3,bug,flying,"Beautifly has a long mouth like a coiled needle, which is very
convenient for collecting pollen from flowers. This Pokémon
rides the spring winds as it flits around gathering pollen.",3
268,Cascoon,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/268.png,268,bug,3,bug,,"If it is attacked, Cascoon remains motionless however badly it
may be hurt. It does so because if it were to move, its body
would be weak upon evolution. This Pokémon will also not
forget the pain it endured.",3
269,Dustox,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/269.png,269,"bug,poison",3,bug,poison,"When Dustox flaps its wings, a fine dust is scattered all over.
This dust is actually a powerful poison that will even make a
pro wrestler sick. This Pokémon searches for food using its
antennae like radar.",3
270,Lotad,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/270.png,270,"water,grass",3,water,grass,"Lotad is said to have dwelled on land before. However, this
Pokémon is thought to have returned to water because the
leaf on its head grew large and heavy. It now lives by floating
atop the water.",3
271,Lombre,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/271.png,271,"water,grass",3,water,grass,"Lombre’s entire body is covered by a slippery, slimy film.
It feels horribly unpleasant to be touched by this Pokémon’s
hands. Lombre is often mistaken for a human child.",3
272,Ludicolo,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/272.png,272,"water,grass",3,water,grass,"Upon hearing an upbeat and cheerful rhythm, the cells in
Ludicolo’s body become very energetic and active. Even
in battle, this Pokémon will exhibit an amazing amount
of power.",3
273,Seedot,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/273.png,273,grass,3,grass,,"Seedot looks exactly like an acorn when it is dangling from a
tree branch. It startles other Pokémon by suddenly moving.
This Pokémon polishes its body once a day using leaves.",3
274,Nuzleaf,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/274.png,274,"grass,dark",3,grass,dark,"This Pokémon pulls out the leaf on its head and makes a flute
with it. The sound of Nuzleaf’s flute strikes fear and uncertainty
in the hearts of people lost in a forest.",3
275,Shiftry,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/275.png,275,"grass,dark",3,grass,dark,"Shiftry’s large fans generate awesome gusts of wind at a
speed close to 100 feet per second. The whipped-up wind
blows anything away. This Pokémon chooses to live quietly
deep in forests.",3
276,Taillow,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/276.png,276,"normal,flying",3,normal,flying,"Taillow is young—it has only just left its nest. As a result,
it sometimes becomes lonesome and cries at night.
This Pokémon feeds on Wurmple that live in forests.",3
277,Swellow,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/277.png,277,"normal,flying",3,normal,flying,"Swellow is very conscientious about the upkeep of its glossy
wings. Once two Swellow are gathered, they diligently take
care of cleaning each other’s wings.",3
278,Wingull,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/278.png,278,"water,flying",3,water,flying,"Wingull rides updrafts rising from the sea by extending its long
and narrow wings to glide. This Pokémon’s long beak is useful
for catching prey.",3
279,Pelipper,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/279.png,279,"water,flying",3,water,flying,"Pelipper searches for food while in flight by skimming the wave
tops. This Pokémon dips its large bill in the sea to scoop up
food, then swallows everything in one big gulp.",3
280,Ralts,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/280.png,280,"psychic,fairy",3,psychic,fairy,"Ralts has the ability to sense the emotions of people. If its
Trainer is in a cheerful mood, this Pokémon grows cheerful
and joyous in the same way.",3
281,Kirlia,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/281.png,281,"psychic,fairy",3,psychic,fairy,"Kirlia uses the horns on its head to amplify its psychokinetic
power. When the Pokémon uses its power, the air around it
becomes distorted, creating mirages of nonexistent scenery.",3
